"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT)","Coefficent of Variation for Amount (percent) (AMOUNT_CV)"
"2023","Arizona","Annual Survey of State and Local Finance","LF0092","Expenditure - Total Direct Expenditure","001","State and Local","86,057,070","0.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0093","Expenditure - Direct Expenditure - Current Operations","001","State and Local","71,864,731","0.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0094","Expenditure - Direct Expenditure - Capital Outlay","001","State and Local","8,685,713","0.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0097","Expenditure - Direct Expenditure - Assistance and Subsidies","001","State and Local","4,022,902","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0098","Expenditure - Direct Expenditure - Interest on Debt","001","State and Local","1,483,724","0.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0100","Exhibit: Salaries and Wages","001","State and Local","19,887,639","0.40"
"2023","Arizona","Annual Survey of State and Local Finance","LF0101","Expenditure - Total Direct Expenditure by Function","001","State and Local","86,057,070","0.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0102","Expenditure - Direct Expenditure - Total General Expenditure","001","State and Local","77,825,150","0.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0103","Expenditure - Direct Expenditure - General Expenditure - Current Operations","001","State and Local","66,045,388","0.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0104","Expenditure - Direct Expenditure - General Expenditure - Capital Outlay","001","State and Local","6,623,453","0.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0105","Expenditure - Direct Expenditure - General Expenditure - Other","001","State and Local","5,156,309","0.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0106","Expenditure - Direct Expenditure - General Expenditure - Education - Total Expenditure","001","State and Local","24,591,511","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0107","Expenditure - Direct Expenditure - General Expenditure - Education - Education - Current Operations","001","State and Local","18,002,963","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0108","Expenditure - Direct Expenditure - General Expenditure - Education - Education - Capital Outlay","001","State and Local","2,565,646","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0109","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Total Expenditure","001","State and Local","8,183,927","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0110","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Current Operations","001","State and Local","7,463,641","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0111","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Capital Outlay","001","State and Local","720,286","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0112","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Total Expenditures","001","State and Local","12,284,311","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0113","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Current Operations","001","State and Local","10,439,358","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0114","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Capital Outlay","001","State and Local","1,844,953","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0115","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Total Expenditures","001","State and Local","4,123,273","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0116","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Current Operations","001","State and Local","99,964","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0117","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Capital Outlay","001","State and Local","407","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0118","Expenditure - Direct Expenditure - General Expenditure - Education - Scholarships & Other Subsidies","001","State and Local","4,022,902","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0119","Expenditure - Direct Expenditure - General Expenditure - Libraries - Total Expenditures","001","State and Local","200,473","0.60"
"2023","Arizona","Annual Survey of State and Local Finance","LF0120","Expenditure - Direct Expenditure - General Expenditure - Libraries - Current Operations","001","State and Local","197,663","0.70"
"2023","Arizona","Annual Survey of State and Local Finance","LF0121","Expenditure - Direct Expenditure - General Expenditure - Libraries - Capital Outlay","001","State and Local","2,809","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0122","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Total Expenditure","001","State and Local","28,469,945","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0123","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Current Operations","001","State and Local","28,459,368","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0124","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Capital Outlay","001","State and Local","10,577","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0128","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Total Expenditure","001","State and Local","939,996","0.70"
"2023","Arizona","Annual Survey of State and Local Finance","LF0129","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Current Operations","001","State and Local","879,163","0.80"
"2023","Arizona","Annual Survey of State and Local Finance","LF0130","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Capital Outlay","001","State and Local","60,833","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0131","Expenditure - Direct Expenditure - General Expenditure - Health - Total Expenditure","001","State and Local","1,366,540","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0132","Expenditure - Direct Expenditure - General Expenditure - Health - Current Operations","001","State and Local","1,348,576","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0133","Expenditure - Direct Expenditure - General Expenditure - Health - Capital Outlay","001","State and Local","17,964","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0134","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Total Expenditure","001","State and Local","124,036","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0135","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Current Operations","001","State and Local","123,851","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0136","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Capital Outlay","001","State and Local","185","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0137","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Total Expenditures","001","State and Local","19,022","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0138","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Current Operations","001","State and Local","18,411","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0139","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Capital Outlay","001","State and Local","611","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0140","Expenditure - Direct Expenditure - General Expenditure - Highways - Total Expenditures","001","State and Local","3,286,368","1.50"
"2023","Arizona","Annual Survey of State and Local Finance","LF0141","Expenditure - Direct Expenditure - General Expenditure - Highways - Current Operations","001","State and Local","1,602,843","3.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0142","Expenditure - Direct Expenditure - General Expenditure - Highways - Capital Outlay","001","State and Local","1,683,525","0.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0143","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Total Expenditures","001","State and Local","579,705","0.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0144","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Current Operations","001","State and Local","377,164","0.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0145","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Capital Outlay","001","State and Local","202,541","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0146","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Total Expenditure","001","State and Local","10,152","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0147","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Current Operations","001","State and Local","9,829","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0148","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Capital Outlay","001","State and Local","323","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0152","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Total Expenditure","001","State and Local","3,189,725","2.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0153","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","001","State and Local","2,974,882","2.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0154","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay","001","State and Local","214,843","0.10"
